Country (or dependent territory),1950,1955,%,1960,%,1965,%,1970,%,1975,%,1980,%
 Afghanistan,"8,151","8,892",1.76,"9,830",2.03,"10,998",2.27,"12,431",2.48,"14,133",2.6,"15,045",1.26
 Albania,"1,228","1,393",2.56,"1,624",3.12,"1,884",3.02,"2,157",2.74,"2,402",2.17,"2,672",2.16
 Algeria,"8,893","9,842",2.05,"10,910",2.08,"11,964",1.86,"13,932",3.09,"16,141",2.99,"18,807",3.1
 American Samoa,20,20,0.72,21,0.2,25,4.23,28,2.08,30,1.68,33,1.8
 Andorra,7,7,0.04,9,6.28,14,10.17,20,7.49,27,6.32,34,4.81
 Angola,"4,118","4,424",1.44,"4,798",1.64,"5,135",1.37,"5,606",1.77,"6,051",1.54,"7,206",3.56
 Anguilla,6,6,0.8,6,0.79,6,0.75,7,0.8,7,0.68,7,0.64
 Antigua and Barbuda,46,52,2.19,55,1.32,60,1.7,66,2.05,69,0.73,69,0.15
 Argentina,"17,151","18,928",1.99,"20,617",1.72,"22,284",1.57,"23,963",1.46,"26,082",1.71,"28,370",1.7
 Armenia,"1,356","1,566",2.92,"1,869",3.61,"2,206",3.37,"2,520",2.7,"2,835",2.38,"3,134",2.03
 Aruba,50,54,1.62,58,1.21,60,0.63,60,0.01,60,0.06,60,0.23
 Australia,"8,268","9,278",2.33,"10,362",2.24,"11,440",2,"12,661",2.05,"13,772",1.7,"14,616",1.2
 Austria,"6,936","6,947",0.03,"7,048",0.29,"7,271",0.63,"7,468",0.53,"7,579",0.3,"7,550",-0.08
 Azerbaijan,"2,886","3,314",2.81,"3,882",3.21,"4,567",3.31,"5,169",2.51,"5,697",1.96,"6,199",1.7
 Bahamas,71,88,4.33,113,5.19,140,4.4,171,4.12,190,2.12,210,2.09
 Bahrain,115,131,2.55,157,3.76,192,4.09,220,2.78,259,3.34,348,6.08
 Bangladesh,"45,646","49,589",1.67,"54,593",1.94,"60,285",2,"67,332",2.24,"76,153",2.49,"87,938",2.92
 Barbados,211,228,1.53,233,0.44,235,0.23,239,0.32,248,0.69,252,0.39
 Belarus,"7,723","7,781",0.15,"8,168",0.98,"8,591",1.01,"9,028",1,"9,361",0.73,"9,644",0.6
 Belgium,"8,640","8,869",0.52,"9,119",0.56,"9,449",0.71,"9,638",0.4,"9,795",0.32,"9,847",0.11
 Belize,66,77,3.17,92,3.62,107,3.09,123,2.68,136,2.13,145,1.27
 Benin,"1,673","1,847",1.99,"2,056",2.17,"2,311",2.37,"2,620",2.54,"2,996",2.72,"3,459",2.91
 Bermuda,39,42,1.3,45,1.36,49,2.01,53,1.43,54,0.46,55,0.33
 Bhutan,164,187,2.61,213,2.63,255,3.69,310,4.01,373,3.8,447,3.66
 Bolivia,"2,767","3,075",2.14,"3,435",2.24,"3,854",2.33,"4,347",2.44,"4,915",2.49,"5,442",2.06
 Bosnia and Herzegovina,"2,663","2,975",2.24,"3,241",1.73,"3,494",1.52,"3,704",1.17,"3,981",1.45,"4,093",0.56
 Botswana,431,462,1.39,497,1.5,539,1.61,584,1.65,705,3.83,901,5.03
 Brazil,"53,444","61,652",2.9,"71,412",2.98,"82,602",2.95,"94,931",2.82,"107,328",2.49,"121,064",2.44
 British Virgin Islands,7,7,1.13,8,2.26,9,2.64,10,3.17,11,1.4,11,0.87
 Brunei,45,61,6.28,84,6.37,103,4.28,128,4.49,157,4.14,186,3.46
 Bulgaria,"7,251","7,500",0.68,"7,868",0.96,"8,202",0.84,"8,490",0.69,"8,721",0.54,"8,844",0.28
 Burkina Faso,"4,377","4,615",1.07,"4,866",1.07,"5,032",0.67,"5,304",1.06,"5,674",1.36,"6,319",2.18
 Burundi,"2,363","2,577",1.75,"2,816",1.79,"3,171",2.41,"3,522",2.12,"3,677",0.86,"4,298",3.17
 Cambodia,"4,472","5,049",2.46,"5,762",2.68,"6,602",2.76,"7,395",2.29,"7,500",0.28,"6,889",-1.69
 Cameroon,"4,888","5,211",1.29,"5,609",1.48,"6,104",1.71,"6,727",1.96,"7,522",2.26,"8,756",3.09
 Canada,"14,012","16,051",2.75,"18,267",2.62,"20,072",1.9,"21,750",1.62,"23,210",1.31,"24,594",1.17
